Strategy,Total Return,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Win Rate,Positive Days,Negative Days
Buy & Hold,1.522938135361156,0.15524355464447237,0.20322234499272862,0.7639098675395516,-0.33717282130142395,0.460427249282019,0.5544554455445545,896,718
Baseline ML,0.5026858467103719,0.0655674155459176,0.18912685855606645,0.34668484448220355,-0.29938596315306726,0.21900631163657766,0.48824257425742573,789,665
Adaptive Strategy,-0.15518681763738507,-0.02595500925157601,0.16414439153514582,-0.15812303429215033,-0.38719551714555905,0.06703334130239608,0.39232673267326734,634,598
Regime-Aware Strategy,-0.38042251607828137,-0.07193313224447595,0.07850040496388194,-0.916340906490513,-0.42609128938246893,0.16882094057526528,0.18873762376237624,305,315
