Date,Buy_Hold,Baseline_ML,Adaptive,Regime_Aware
2019-07-25,-0.0047769471616931,-0.0047769471616931,-0.0047769471616931,-0.0047769471616931
2019-07-26,0.006700146666922,0.006700146666922,0.0,0.0
2019-07-29,-0.0018210511644352,-0.0018210511644352,-0.0018210511644352,-0.0018210511644352
2019-07-30,-0.0024546176232377,-0.0024546176232377,-0.0024546176232377,-0.0024546176232377
2019-07-31,-0.010940529319212,-0.010940529319212,-0.010940529319212,-0.0131286351830544
2019-08-01,-0.0087079626170843,-0.0087079626170843,-0.0087079626170843,-0.0087079626170843
2019-08-02,-0.0075296488976638,-0.0075296488976638,-0.0075296488976638,-0.00903557867719656
2019-08-05,-0.0300731837487152,-0.0300731837487152,-0.0300731837487152,-0.0300731837487152
2019-08-06,0.0140232500700392,0.0140232500700392,0.0140232500700392,0.0140232500700392
2019-08-07,0.0005904153877156,0.0005904153877156,0.0005904153877156,0.0
2019-08-08,0.0196204867433986,0.0196204867433986,0.0,0.0
2019-08-09,-0.0068116073627696,-0.0068116073627696,-0.0068116073627696,-0.0
2019-08-12,-0.0121733600470572,-0.0121733600470572,-0.0121733600470572,-0.0
2019-08-13,0.0155518617533443,0.0155518617533443,0.0155518617533443,0.0
2019-08-14,-0.0295679202184119,-0.0295679202184119,-0.0295679202184119,-0.0
2019-08-15,0.0026419708493825,0.0026419708493825,0.0026419708493825,0.0
2019-08-16,0.0147548233106364,0.0147548233106364,0.0147548233106364,0.0
2019-08-19,0.0120478800424241,0.0120478800424241,0.0120478800424241,0.0
2019-08-20,-0.0076627312543078,-0.0076627312543078,-0.0076627312543078,-0.0
2019-08-21,0.0081356623669983,0.0081356623669983,0.0081356623669983,0.0
2019-08-22,-0.0003081033125589,-0.0003081033125589,-0.0003081033125589,-0.0
2019-08-23,-0.0256870607671537,-0.0256870607671537,-0.0256870607671537,-0.0
2019-08-26,0.0110583459056263,0.0110583459056263,0.0110583459056263,0.00552917295281315
2019-08-27,-0.0039239908737122,-0.0039239908737122,-0.0,-0.0
2019-08-28,0.0070417376753182,0.0070417376753182,0.0070417376753182,0.0
2019-08-29,0.0127732413895196,0.0127732413895196,0.0,0.0
2019-08-30,-0.0004443679380315,-0.0004443679380315,-0.0,-0.0
2019-09-03,-0.0058472950311098,-0.0058472950311098,-0.0058472950311098,-0.0
2019-09-04,0.0113503075275116,0.0113503075275116,0.0113503075275116,0.0
2019-09-05,0.0128553886831552,0.0128553886831552,0.0128553886831552,0.0
2019-09-06,0.000772400401892,0.000772400401892,0.000772400401892,0.0
2019-09-09,0.0005032181823636,0.0005032181823636,0.0005032181823636,0.0
2019-09-10,-0.0002347395873205,-0.0002347395873205,-0.0002347395873205,-0.0
2019-09-11,0.0071111669465895,0.0071111669465895,0.0071111669465895,0.0
2019-09-12,0.0034635711948587,0.0034635711948587,0.0034635711948587,0.0
2019-09-13,-0.0006639654987904,-0.0006639654987904,-0.0006639654987904,-0.0
2019-09-16,-0.0030884300674043,-0.0030884300674043,-0.0030884300674043,-0.0
2019-09-17,0.0025318948293631,0.0025318948293631,0.0025318948293631,0.0
2019-09-18,0.0005979684491199,0.0005979684491199,0.0005979684491199,0.0
2019-09-19,-6.655011463707616e-05,-6.655011463707616e-05,-6.655011463707616e-05,-0.0
2019-09-20,-0.0047247026011324,-0.0047247026011324,-0.0047247026011324,-0.0
2019-09-23,-0.0002347198973695,-0.0002347198973695,-0.0002347198973695,-0.0002816638768434
