Date,Open,High,Low,Close,Volume,Adj Close,Returns,Log_Returns,Volatility_5,Volatility_20,Volatility_60,Momentum_5,Momentum_10,Momentum_20,Momentum_60,SMA_20,SMA_50,SMA_200,Price_to_SMA20,Price_to_SMA50,Price_to_SMA200,Volume_MA20,Volume_Ratio,RSI,Regime,Regime_Name
1993-11-11,26.12078287787836,26.191000036152225,26.033011430036023,26.05056571960449,88900,26.05056571960449,-0.0026881710615545,-0.0026917906816097,0.0619938939130084,0.0850383443117775,0.0778710834866751,0.0115871847048125,-0.0100072056809846,-0.0093461502780946,0.0192802036411245,26.1401008605957,25.95907688140869,25.163890771865844,-0.0034252025831383,0.003524348674406,0.0352360036759491,321640.0,0.2763959706504166,50.0,0.0,Bull Market
1993-11-12,26.10324281018345,26.26123150237689,26.085688511050844,26.173460006713867,108200,26.173460006713867,0.0047175285340115,0.0047064358692381,0.0618616971021664,0.08450180944529,0.078384132704857,0.0115334932236312,-0.005336886425319,-0.0099604718102277,0.0240886870859546,26.126934719085693,25.965109481811524,25.17355109214783,0.0017807403787857,0.0080242498129381,0.0397206143426436,251925.0,0.4294929046343158,51.76525180628634,0.0,Bull Market
1993-11-15,26.22612387637964,26.22612387637964,26.085689478112545,26.155906677246094,243300,26.155906677246094,-0.0006706537638994,-0.0006708787527336,0.0653877974775206,0.0841186364947227,0.0784130050130247,0.0094852343983091,-0.0086487506384251,-0.0079889812144609,0.0227042078063408,26.1164026260376,25.97044246673584,25.182261610031127,0.0015126145730772,0.0071413573622323,0.0386639247218019,227970.0,1.0672456902223977,51.76505328716007,0.0,Bull Market
1993-11-16,26.20856090028364,26.296332370143933,26.10323513645129,26.278778076171875,492600,26.278778076171875,0.0046976539732292,0.0046866544313791,0.0668767122698304,0.0817624582990436,0.0787368086574217,0.0135410275014442,-0.0033288567105757,0.0040238497100113,0.0296153117528081,26.121668529510497,25.9817219543457,25.191327781677245,0.0060145295268518,0.0114332730658941,0.0431676449895419,208595.0,2.3615139384932524,54.94542627920778,0.0,Bull Market
1993-11-17,26.296322862921023,26.296322862921023,26.0681171237902,26.138334274291992,39600,26.138334274291992,-0.0053443809857821,-0.0053587132774684,0.0711968113585214,0.0839540739409736,0.0765578411444434,0.0006719332348679,0.0040453370226438,-0.0026795316790815,0.0130337021839412,26.118157196044923,25.99193706512451,25.19839861869812,0.0007725306994523,0.0056324085735,0.0373014043398933,199055.0,0.1989399914596468,44.31741570952663,0.0,Bull Market
1993-11-18,26.10324672609066,26.15590963138876,25.997920915494465,26.068138122558597,240800,26.068138122558597,-0.0026855633184873,-0.0026891759130066,0.0711902818875501,0.0843483065647442,0.0767833148505689,0.0006745497638416,0.0122695506013603,-0.0040239954567816,0.0096304560161206,26.11289110183716,25.99970157623291,25.20460124015808,-0.0017138270559178,0.0026322050707014,0.0342610809102845,208285.0,1.1561082171063686,42.39105400971559,0.0,Bull Market
1993-11-19,25.980350478940647,26.050567642397244,25.9627961880765,26.015459060668945,106000,26.015459060668945,-0.0020208218033056,-0.0020228664186859,0.0589278738601023,0.0829758790560884,0.0769064085717891,-0.0060366854823318,0.0054271836701957,-0.0013476351843341,0.006909569440298,26.11113576889038,26.001876525878902,25.210626678466795,-0.003664210897154,0.0005223674828438,0.0319243306589274,194050.0,0.5462509662458129,38.46129046894664,0.0,Bull Market
1993-11-22,25.94523909621229,25.96279338518131,25.769696206522084,25.857467651367188,165300,25.857467651367188,-0.0060729817964509,-0.0060914973515478,0.0676747210893787,0.0849361764201729,0.0779353750687577,-0.0114100049966353,-0.0020329971702051,-0.0100806779910028,0.0014710959997623,26.097970008850098,26.000542678833007,25.215862159729003,-0.0092153664595887,-0.0055027708164836,0.0254445193098675,196590.0,0.8408362582023501,35.35302981911413,0.0,Bull Market
1993-11-23,25.997926712036136,26.015481017716105,25.85749226659637,25.997926712036133,89700,25.997926712036133,0.0054320501358731,0.005417349762947,0.0724789835786853,0.0874906542725861,0.0782891407952998,-0.0106873829263165,0.0027089264290038,-0.0040343096067381,0.0028454811405114,26.09270458221436,26.00411151885986,25.22266204833984,-0.0036323513294527,-0.0002378395746858,0.0307368295309384,191765.0,0.4677600187729773,48.864062901282125,0.0,Bull Market
1993-11-24,26.0681266566612,26.120789538795865,26.033018068571412,26.103235244750977,77200,26.103235244750977,0.0040506511877382,0.0040424693871873,0.0768544893060744,0.0887439360570966,0.0785334589779238,-0.0013428181449013,-0.0006717871941734,-0.0006717871941734,0.0042046296125763,26.091827201843262,26.00839107513428,25.229816026687622,0.0004372266771299,0.0036466757725499,0.0346185329746149,189705.0,0.4069476292137793,62.81981810051695,0.0,Bull Market
