Date,Open,High,Low,Close,Volume,Adj Close,Returns,Log_Returns,Volatility_5,Volatility_20,Volatility_60,Momentum_5,Momentum_10,Momentum_20,Momentum_60,SMA_20,SMA_50,SMA_200,Price_to_SMA20,Price_to_SMA50,Price_to_SMA200,Volume_MA20,Volume_Ratio,RSI
1993-11-11,26.12078287787836,26.191000036152225,26.033011430036026,26.050565719604492,88900,26.050565719604492,-0.0026881710615545007,-0.002691790681609731,0.061993893913008434,0.08503834431177755,0.0778710834866751,0.01158718470481257,-0.010007205680984677,-0.0093461502780946,0.019280203641124594,26.1401008605957,25.95907688140869,25.163890771865844,-0.003425202583138387,0.003524348674406097,0.035236003675949146,321640.0,0.2763959706504166,50.0
1993-11-12,26.10324281018345,26.26123150237689,26.085688511050844,26.173460006713867,108200,26.173460006713867,0.004717528534011528,0.004706435869238154,0.06186169710216647,0.08450180944529002,0.07838413270485703,0.011533493223631286,-0.005336886425319043,-0.009960471810227745,0.024088687085954685,26.126934719085693,25.965109481811524,25.17355109214783,0.0017807403787857279,0.008024249812938145,0.03972061434264362,251925.0,0.4294929046343158,51.76525180628634
1993-11-15,26.22612387637964,26.22612387637964,26.085689478112545,26.155906677246094,243300,26.155906677246094,-0.0006706537638994092,-0.0006708787527336217,0.06538779747752062,0.0841186364947227,0.07841300501302474,0.009485234398309172,-0.008648750638425184,-0.0079889812144609,0.02270420780634086,26.116402626037598,25.97044246673584,25.182261610031127,0.0015126145730772755,0.0071413573622323145,0.03866392472180191,227970.0,1.0672456902223977,51.76505328716007
1993-11-16,26.20856090028364,26.296332370143933,26.103235136451286,26.278778076171875,492600,26.278778076171875,0.004697653973229299,0.004686654431379126,0.06687671226983041,0.08176245829904365,0.07873680865742172,0.013541027501444258,-0.0033288567105757005,0.004023849710011351,0.029615311752808182,26.121668529510497,25.9817219543457,25.191327781677245,0.006014529526851886,0.011433273065894145,0.04316764498954195,208595.0,2.3615139384932524,54.94542627920778
1993-11-17,26.296322862921023,26.296322862921023,26.0681171237902,26.138334274291992,39600,26.138334274291992,-0.00534438098578216,-0.005358713277468404,0.07119681135852142,0.08395407394097362,0.0765578411444434,0.0006719332348679163,0.004045337022643869,-0.002679531679081526,0.013033702183941287,26.118157196044923,25.99193706512451,25.19839861869812,0.0007725306994523784,0.005632408573500003,0.037301404339893374,199055.0,0.19893999145964683,44.31741570952663
1993-11-18,26.10324672609066,26.15590963138876,25.997920915494465,26.068138122558594,240800,26.068138122558594,-0.0026855633184873495,-0.002689175913006609,0.0711902818875501,0.08434830656474422,0.07678331485056897,0.0006745497638416253,0.012269550601360368,-0.0040239954567816705,0.00963045601612067,26.112891101837157,25.99970157623291,25.20460124015808,-0.001713827055917827,0.002632205070701499,0.03426108091028457,208285.0,1.1561082171063686,42.39105400971559
1993-11-19,25.980350478940647,26.050567642397244,25.9627961880765,26.015459060668945,106000,26.015459060668945,-0.00202082180330565,-0.0020228664186859374,0.05892787386010238,0.08297587905608847,0.07690640857178917,-0.006036685482331827,0.00542718367019579,-0.0013476351843341172,0.00690956944029808,26.11113576889038,26.001876525878906,25.210626678466795,-0.0036642108971540743,0.000522367482843844,0.03192433065892741,194050.0,0.5462509662458129,38.46129046894664
1993-11-22,25.94523909621229,25.96279338518131,25.769696206522084,25.857467651367188,165300,25.857467651367188,-0.0060729817964509936,-0.006091497351547858,0.0676747210893787,0.08493617642017291,0.07793537506875778,-0.011410004996635359,-0.0020329971702051086,-0.010080677991002873,0.0014710959997623618,26.097970008850098,26.000542678833007,25.215862159729003,-0.009215366459588759,-0.005502770816483649,0.025444519309867575,196590.0,0.8408362582023501,35.35302981911413
1993-11-23,25.997926712036136,26.015481017716105,25.85749226659637,25.997926712036133,89700,25.997926712036133,0.005432050135873112,0.005417349762947064,0.0724789835786853,0.08749065427258619,0.07828914079529986,-0.010687382926316547,0.0027089264290038884,-0.004034309606738118,0.002845481140511419,26.092704582214356,26.00411151885986,25.222662048339842,-0.003632351329452721,-0.0002378395746858164,0.03073682953093848,191765.0,0.46776001877297735,48.864062901282125
1993-11-24,26.068126656661196,26.120789538795865,26.033018068571415,26.103235244750977,77200,26.103235244750977,0.004050651187738286,0.004042469387187342,0.07685448930607447,0.08874393605709667,0.07853345897792384,-0.0013428181449013366,-0.0006717871941734899,-0.0006717871941734899,0.004204629612576394,26.091827201843262,26.008391075134277,25.229816026687622,0.000437226677129976,0.0036466757725499566,0.034618532974614924,189705.0,0.4069476292137793,62.81981810051695
1993-11-26,26.17344572082643,26.17344572082643,26.103228562621663,26.12078285217285,1019800,26.12078285217285,0.000672238795587754,0.0006720129443002708,0.07381305643189892,0.08439945729978478,0.07848590780339239,0.002019504782687198,0.0026954168030031145,-0.007338762468325211,0.0062304849604879475,26.082171630859374,26.015114936828613,25.236454334259033,0.0014803683473885165,0.004061789294447671,0.03504171014679036,234215.0,4.354119078624341,59.72187639118395
1993-11-29,26.191001969310435,26.243664841902884,26.015459060668945,26.015459060668945,517500,26.015459060668945,-0.004032183571984538,-0.004040334742886988,0.07917623270215789,0.08538255833509172,0.07862505993269685,0.0,-0.006036685482331827,-0.01134135480284626,0.0055515622269946,26.067249870300294,26.020732192993165,25.243514232635498,-0.001986815252435048,-0.00020265118925588688,0.030579927220888203,256055.0,2.0210501650036123,53.94701100553851
1993-11-30,25.99791333358672,26.15590200340595,25.98035903694014,26.033021926879883,230000,26.033021926879883,0.0006750934577006706,0.0006748656846186688,0.058239625111019655,0.08467456595463298,0.07862510596204059,0.006789306589480182,-0.004698164429264962,-0.013306281815083087,0.005553055982103761,26.049696159362792,26.03091381072998,25.25376540184021,-0.0006400931658051556,8.098509968679224e-05,0.03085704300487757,265735.0,0.8655239242102094,53.947537721201925
1993-12-01,26.173463933154792,26.191018234920826,26.068138122558597,26.068138122558594,379200,26.068138122558594,0.0013489096954377722,0.0013480007340672684,0.046226967134390624,0.08497296474611793,0.07735549355669008,0.002700654221398091,-0.008015591630734065,-0.011317765585320494,0.013740506482624149,26.03477563858032,26.043553237915038,25.26427833557129,0.0012814584785141303,0.000943991183498083,0.03181803874664779,271590.0,1.3962222467690268,47.762016965891455
1993-12-02,26.12077998666654,26.15588856191744,26.0681171237902,26.138334274291992,352000,26.138334274291992,0.0026927949899364645,0.002689175913006544,0.04036985398011319,0.07255480666611495,0.07714035263571528,0.00134462373004407,0.0,0.004045337022643869,0.01992991785196918,26.04004125595093,26.0533833694458,25.27522847175598,0.0037746875043296324,0.0032606477109540233,0.034148288847339,265235.0,1.327125002356401,53.7312004774276
1993-12-03,26.120781858310252,26.243661880493164,26.120781858310252,26.243661880493164,306000,26.243661880493164,0.004029621975749409,0.004021524794213959,0.048656082500595964,0.06088547301104892,0.07743458006690178,0.004704262847546659,0.006733267911553487,0.019085432684267323,0.021952929624686313,26.06461582183838,26.06251163482666,25.286274166107177,0.006869315085195726,0.006950605843545787,0.037861952618912786,274015.0,1.116727186467894,53.029659482276095
1993-12-06,26.27878089904785,26.366552378336586,26.27878089904785,26.331443786621094,99500,26.331443786621094,0.0033448802429960622,0.0033392985742884476,0.02204302978458094,0.05990189343600183,0.07567113056447733,0.012146036908872615,0.012146036908872615,0.01763913935223793,0.016394678535989193,26.087436485290528,26.07479949951172,25.29732776641846,0.009353441127423645,0.009842617854614044,0.04087846865689104,260830.0,0.3814745236360848,57.142591051893056
1993-12-07,26.331448570897855,26.349002869945117,26.278785673756058,26.313894271850586,88800,26.313894271850586,-0.0006664850933629785,-0.0006667072932869261,0.02951727813175851,0.06011904874733243,0.07569136450040224,0.010789079568234605,0.017651636526721637,0.015582753629408197,0.015033631490216859,26.107624053955078,26.08111885070801,25.308379859924315,0.007900765595108217,0.008925055035982732,0.03973049312091681,246890.0,0.35967434890031996,51.56282627850242
1993-12-08,26.31389427185059,26.31389427185059,26.278785673756058,26.313894271850586,146700,26.313894271850586,0.0,0.0,0.03315299913346821,0.060182467669390324,0.07516264042410671,0.009427453089920546,0.012153567602303017,0.014895417151791657,0.01914869977836786,26.126934242248534,26.088491859436036,25.31788031578064,0.007155834965884678,0.008639917310245826,0.03934033748667054,241880.0,0.6064990904580784,58.929444543613066
1993-12-09,26.313889567312625,26.348998159130254,26.191009495950922,26.226118087768555,416500,26.226118087768555,-0.003335735226994929,-0.0033413111951692757,0.048099334433343376,0.05630522795798552,0.07536603535070775,0.0033584318172448224,0.004707571374406028,0.004032621694067595,0.013011599797162487,26.13220100402832,26.095864868164064,25.32668318748474,0.0035939216802196583,0.0049913356105470985,0.035513331675751214,260380.0,1.5995852215992012,57.89410479725054
1993-12-10,26.243677203244285,26.243677203244285,26.12079710931605,26.173460006713867,412900,26.173460006713867,-0.0020078488504651215,-0.002009867281223416,0.03997915805219515,0.055891492286136185,0.07498808068757361,-0.0026750029816333676,0.0020166759487698638,0.004717528534011528,0.015081498009660965,26.13834571838379,26.103237648010253,25.33505036354065,0.0013434013272455303,0.002690178117003228,0.033092874541104544,276580.0,1.4928772868609443,57.895318736871
1993-12-13,26.173455123901366,26.331443786621094,26.13834653218587,26.331443786621094,273200,26.331443786621094,0.006036029621865113,0.006017885769679537,0.05725633052292925,0.05746582861553931,0.07576607297536918,0.0,0.012146036908872615,0.006036029621865113,0.023192418809487414,26.14624490737915,26.111312713623047,25.344552249908446,0.007083192247988146,0.008430486640497392,0.038939000657082445,284830.0,0.9591686269002563,73.68480245826328
1993-12-14,26.348985725797366,26.348985725797366,26.13833427429199,26.138334274291992,41900,26.138334274291992,-0.007333798856377971,-0.00736082336850245,0.07799349879074916,0.06351816990922243,0.0753731712960342,-0.00667176039186268,0.004045337022643869,-0.0006718330651251936,0.02407125268347632,26.145366287231447,26.11482307434082,25.351278314590456,-0.00026895828737683036,0.0009003009472530188,0.03104600682990255,274760.0,0.15249672441403406,56.66549559762551
